city,geocode_status,geocode_score,matched_address,lat,lon,station_id,station_name,station_lat,station_lon
"Minot, ND",T,100.0,"Minot, North Dakota",48.23552250000006,-101.29596179999999,USW00024013,"MINOT INTERNATIONAL AIRPORT, ND US",,
"Casper, WY",T,100.0,"Casper, Wyoming",42.85008700000003,-106.32520299999999,USW00024089,"CASPER NATRONA CO AIRPORT, WY US",,
"Benton Harbor/St. Joseph, MI",M,90.82,Benton Harbor-st. Joseph Ymca,42.051315000000045,-86.45446799999996,USW00014848,"SOUTH BEND AIRPORT, IN US",,
"Monterey, CA",T,100.0,"Monterey, California",36.598341600000026,-121.89643049999995,USW00023233,"SALINAS AIRPORT, CA US",,
"Kahului, HI",T,100.0,"Kahului, Hawaii",20.888033500000063,-156.46785009999996,USW00022516,"KAHULUI AIRPORT, HI US",,
"Lexington, KY",T,100.0,"Lexington, Kentucky",38.04635600000006,-84.49702099999996,USW00093820,"LEXINGTON BLUEGRASS AIRPORT, KY US",,
"Oklahoma City, OK",T,100.0,"Oklahoma City, Oklahoma",35.46849400000008,-97.52126399999997,USW00013967,"OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US",,
"Pontiac, MI",T,100.0,"Pontiac, Michigan",42.63878200000005,-83.29269599999998,USW00014822,"DETROIT CITY AIRPORT, MI US",,
"Richmond, VA",T,100.0,"Richmond, Virginia",37.54075900000004,-77.43393199999997,USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",,
"Santa Barbara, CA",T,100.0,"Santa Barbara, California",34.420867000000044,-119.69834199999997,USW00023190,"SANTA BARBARA MUNICIPAL AIRPORT, CA US",,
"Trenton, NJ",T,100.0,"Trenton, New Jersey",40.22057240000004,-74.75970869999998,USW00013739,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",,
"Sanford, FL",T,100.0,"Sanford, Florida",28.800789400000042,-81.27304339999995,USW00012834,"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",,
