iso_a3,country,month,origin_risk,fruit_production_score,risk_bucket,total_passengers,passenger_score,route_risk
SGP,Singapore,4,0.7389022666666667,0.0,0.5–1 (very high),171415.0,0.3362858277429161,0.24848236036711693
SGP,Singapore,3,0.7389022666666667,0.0,0.5–1 (very high),171163.0,0.3360385471741136,0.24829964419432612
SGP,Singapore,2,0.7389022666666667,0.0,0.5–1 (very high),170169.0,0.3350613830861366,0.24757761543481466
COL,Colombia,1,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),604551.0,0.6315396548782642,0.24743729598877803
SGP,Singapore,11,0.7389022666666667,0.0,0.5–1 (very high),162139.0,0.3270603510661695,0.24166563473958838
COL,Colombia,11,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),563811.0,0.6098891761171026,0.23895463638040088
DOM,Dominican Republic,9,0.5262435766307278,0.7855152994895653,0.5–1 (very high),311746.0,0.45350763019028,0.2386554773406584
COL,Colombia,8,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),561635.0,0.6087111201629004,0.23849307394710054
COL,Colombia,7,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),557212.0,0.6063095150883407,0.2375521248537352
DOM,Dominican Republic,10,0.5262435766307278,0.7855152994895653,0.5–1 (very high),305272.0,0.4487739500310139,0.2361644085630203
COL,Colombia,6,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),541421.0,0.5976565752268805,0.23416190220479333
BRA,Brazil,1,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),542595.0,0.5983041940603904,0.23179831319702685
COL,Colombia,10,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),521588.0,0.5866079562570723,0.22983305225660336
COL,Colombia,5,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),473768.0,0.5590710644468706,0.2190440954637552
BRA,Brazil,12,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),469371.0,0.5564706716803214,0.2155909390568227
COL,Colombia,3,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),454871.0,0.5478078839908341,0.2146311803051457
COL,Colombia,9,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),453622.0,0.5470552723975167,0.21433630701232584
ISR,Israel,8,0.4690460450220649,0.706453764521454,0.25–0.5 (high),314699.0,0.4556504829727833,0.21372105695077773
COL,Colombia,4,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),430965.0,0.53321843279649,0.20891503195942598
ISR,Israel,7,0.4690460450220649,0.706453764521454,0.25–0.5 (high),296510.0,0.4422866450215597,0.2074528016134405
AUS,Australia,1,1.0937089573567098,0.7586128825508228,>1 (extreme),52385.0,0.1859035262521507,0.20332435186617548
ISR,Israel,9,0.4690460450220649,0.706453764521454,0.25–0.5 (high),281265.0,0.4307665777305603,0.2020493596122092
BRA,Brazil,2,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),403616.0,0.5160221459872161,0.19992014797755767
BRA,Brazil,8,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),397915.0,0.512364827500862,0.19850320946304073
COL,Colombia,2,0.3918000937509999,0.8208041859573301,0.25–0.5 (high),383171.0,0.5027828665472877,0.19699037424962376
BRA,Brazil,7,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),391371.0,0.5081342565947602,0.196864178332004
BRA,Brazil,3,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),389028.0,0.5066109631208171,0.19627401556652554
BRA,Brazil,10,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),370457.0,0.4943710788688227,0.1915319720516964
BRA,Brazil,9,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),365102.0,0.4907849759340923,0.19014262425926307
BRA,Brazil,11,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),364541.0,0.4904077714569458,0.18999648561875054
ISR,Israel,10,0.4690460450220649,0.706453764521454,0.25–0.5 (high),243585.0,0.4008754162958083,0.1880290285601227
BRA,Brazil,6,0.3874255194902245,0.8967010680048653,0.25–0.5 (high),347738.0,0.4789721142014797,0.18556602016583942
