iso_a3,country,month,max_risk,mean_risk,total_risk,top3_mean,high_species_count,moderate_species_count,base_origin_risk,multi_species_boost,origin_country_risk_month
DEU,Germany,6,0.0282255,0.00325065,0.0325065,0.0101618333333333,0,0,0.0210000333333333,1.0,0.0210000333333333
DEU,Germany,7,0.0282255,0.00325065,0.0325065,0.0101618333333333,0,0,0.0210000333333333,1.0,0.0210000333333333
DEU,Germany,8,0.0282255,0.00325065,0.0325065,0.0101618333333333,0,0,0.0210000333333333,1.0,0.0210000333333333
DEU,Germany,9,0.0112902,0.0013002599999999,0.0130025999999998,0.0040647333333333,0,0,0.0084000133333333,1.0,0.0084000133333333
DEU,Germany,10,0.0112902,0.0013002599999999,0.0130025999999998,0.0040647333333333,0,0,0.0084000133333333,1.0,0.0084000133333333
DEU,Germany,11,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
DEU,Germany,12,0.00282255,0.0003250649999999,0.0032506499999998,0.0010161833333333,0,0,0.0021000033333333,1.0,0.0021000033333333
GHA,Ghana,1,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,2,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,3,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,4,0.441288,0.0586075555555555,0.527468,0.1722090666666667,1,1,0.3336564266666667,1.1,0.3670220693333333
GHA,Ghana,5,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,6,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,7,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,8,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
GHA,Ghana,9,0.55161,0.0732594444444444,0.659335,0.2152613333333333,1,1,0.4170705333333334,1.1,0.4587775866666667
