country,common_name,scientific_name,som_index,som_index_clean
Estonia,Caribbean Fruit Fly,Anastrepha suspensa,0.009485,0.009485
Estonia,Guava Fruit Fly,Bactrocera correcta,8.04e-11,0.0
Estonia,Mediterranean Fruit Fly,Ceratitis capitata,0.001339,0.001339
Estonia,Melon Fruit Fly,Bactrocera cucurbitae,0.034766,0.034766
Estonia,Mexican Fruit Fly,Anastrepha ludens,0.000345,0.000345
Estonia,Oriental Fruit Fly,Bactrocera dorsalis,1.07e-08,0.0
Estonia,Peach Fruit Fly,Bactrocera zonata,5.9e-08,0.0
Estonia,Queensland Fruit Fly,Bactrocera tryoni,0.034755,0.034755
Estonia,Sapote Fruit Fly,Anastrepha serpentina,0.000346,0.000346
Estonia,Zeugodacus Tau,Bactrocera tau,0.034755,0.034755
Ethiopia,Caribbean Fruit Fly,Anastrepha suspensa,7.93e-10,0.0
Ethiopia,Guava Fruit Fly,Bactrocera correcta,0.019441,0.019441
Ethiopia,Melon Fruit Fly,Bactrocera cucurbitae,0.12915,0.12915
Ethiopia,Mexican Fruit Fly,Anastrepha ludens,1.75e-12,0.0
Ethiopia,Oriental Fruit Fly,Bactrocera dorsalis,0.021373,0.021373
Ethiopia,Peach Fruit Fly,Bactrocera zonata,0.2293,0.2293
Ethiopia,Queensland Fruit Fly,Bactrocera tryoni,2.87e-05,0.0
Ethiopia,Sapote Fruit Fly,Anastrepha serpentina,3.76e-12,0.0
Ethiopia,Zeugodacus Tau,Bactrocera tau,0.0046628,0.0046628
Fiji,Caribbean Fruit Fly,Anastrepha suspensa,0.021528,0.021528
Fiji,Guava Fruit Fly,Bactrocera correcta,4.15e-12,0.0
Fiji,Mediterranean Fruit Fly,Ceratitis capitata,0.003227,0.003227
Fiji,Melon Fruit Fly,Bactrocera cucurbitae,0.060059,0.060059
Fiji,Mexican Fruit Fly,Anastrepha ludens,0.002669,0.002669
Fiji,Oriental Fruit Fly,Bactrocera dorsalis,2.24e-07,0.0
Fiji,Peach Fruit Fly,Bactrocera zonata,2.35e-07,0.0
Fiji,Queensland Fruit Fly,Bactrocera tryoni,0.060055,0.060055
Fiji,Sapote Fruit Fly,Anastrepha serpentina,0.002692,0.002692
Fiji,Zeugodacus Tau,Bactrocera tau,0.060055,0.060055
France,Caribbean Fruit Fly,Anastrepha suspensa,1.4e-08,0.0
France,Guava Fruit Fly,Bactrocera correcta,0.00019,0.00019
